timestamp,roll,pitch,heave,wave_height_swell,wave_height_sea,wave_dir_swell,wave_dir_sea,peak_period_swell,peak_period_sea
2024-02-17 15:00:00+00:00,1.731342691802425,1.8381899748143524,1.7862284990485182,1.6,1.0,171,209,8.8,4.4
2024-02-17 18:00:00+00:00,1.9041811398802417,1.7425447474793656,1.9661483393160082,1.92,1.08,157,194,8.7,4.6
2024-02-17 21:00:00+00:00,1.7167235260377254,1.747063862170848,1.5596204663531719,1.86,1.11,156,188,8.5,4.7
2024-02-18 00:00:00+00:00,2.3753922271168033,1.695134342178544,1.719251151439094,1.98,0.86,156,207,8.1,4.3
2024-02-18 03:00:00+00:00,2.3672270914704647,1.7706765321292737,2.068881649071612,2.04,0.73,158,234,8.0,3.6
2024-02-18 06:00:00+00:00,1.6248932129955151,1.5492735817796914,1.4839923214664492,1.89,0.95,160,236,8.1,3.9
2024-02-18 09:00:00+00:00,1.6916158207783165,1.4656352346552448,1.468348430801462,1.85,0.99,161,239,8.1,4.0
2024-02-18 12:00:00+00:00,1.6616602984919848,1.3436719226006915,1.4366444116216752,1.85,0.91,164,252,8.0,3.8
2024-02-18 15:00:00+00:00,1.6562834790800642,1.3889821752295908,1.4715577457957827,1.78,0.95,164,252,8.0,3.9
2024-02-18 18:00:00+00:00,1.696745701641226,1.3430045980859395,1.5337769662601242,1.85,0.68,169,253,7.7,3.7
2024-02-18 21:00:00+00:00,1.560857998232482,1.3342696652070658,1.4812952118614315,1.79,0.57,169,286,7.7,3.5
2024-02-19 00:00:00+00:00,1.4846501414653792,1.1770419918725459,1.8005822766188708,1.71,0.63,168,291,7.8,3.4
2024-02-19 03:00:00+00:00,2.5298836511099703,1.6352545027344252,1.716586403399692,1.63,0.68,167,295,7.7,3.5
2024-02-19 06:00:00+00:00,2.0860154238625457,1.464120298542435,1.4047410349942187,1.52,0.26,157,316,7.5,2.4
2024-02-19 09:00:00+00:00,1.6478134689950428,1.3710364922222866,1.431823815361795,1.46,0.35,153,294,7.6,2.9
2024-02-19 12:00:00+00:00,1.7567039038911316,1.385279362598026,1.4160302272395258,1.45,0.38,153,279,7.7,2.9
2024-02-19 15:00:00+00:00,1.6173501769419416,1.3017665878543232,1.4731505413862345,1.49,0.28,160,252,7.6,2.5
2024-02-19 18:00:00+00:00,1.2200245821398326,1.1097348599504682,1.40010241242455,1.49,0.2,160,204,7.7,1.8
2024-02-19 21:00:00+00:00,1.0726045944578018,1.06963029104335,1.7004983388231265,1.51,0.1,161,348,7.7,1.9
2024-02-20 00:00:00+00:00,1.9595578179217263,1.2248280886975145,1.5483676935736699,1.52,0.1,160,335,7.8,1.9
2024-02-20 03:00:00+00:00,2.0173230269165923,1.3675304901578844,1.3357598210196078,1.54,0.2,160,330,7.9,2.3
2024-02-20 06:00:00+00:00,1.3606706132575705,1.1932451950458158,1.28209281251617,1.52,0.1,151,324,8.0,1.6
2024-02-20 09:00:00+00:00,1.3138380184874918,1.209649514279896,1.3170768483880488,1.48,0.04,155,11,8.0,1.3
2024-02-20 12:00:00+00:00,1.6482201678371946,1.2396077291596344,1.6413269692840307,1.45,0.07,158,42,7.9,1.5
2024-02-20 15:00:00+00:00,1.5685704632509179,1.1837673319414876,1.467413203899143,1.42,0.06,158,81,7.9,1.6
2024-02-20 18:00:00+00:00,1.2482105278638294,1.1396517943923916,1.594059099943698,1.41,0.3,146,90,7.7,2.6
